CÓDIGO	LARGURA	COMPRIMENTO	BITOLA	CLASSE	ESPECIFICAÇÃO	QUALIDADE	ITEM	PEÇA (M3)	PEÇA (PLT)	SITUAÇÃO
ACB0155	1,240	2,500	45	TABLEROS PLY	COMBI	 - BG	TABLEROS PLY 45MM COMBI 1,240 X 2,500 - BG	0,13950000	20,0000	ATIVO
ACB0267	1,215	2,400	18	TABLEROS PLY	COMBI	 - BG	TABLEROS PLY 18MM COMBI 1,215 X 2,400 - BG	0,05248800	75,0000	ATIVO
ACB2019	1,215	2,400	40	TABLEROS PLY		 - BG	TABLEROS PLY 40MM 1,215 X 2,400 - BG	0,11664000	22,0000	ATIVO
ACB1008	1,220	2,440	20	TABLEROS PLY	EUCA C+/C CE4	 - BG	TABLEROS PLY 20MM EUCA C+/C CE4 1,220 X 2,440 - BG	0,05953600	42,0000	ATIVO
ACB0349	1,220	2,440	22	TABLEROS PLY	C+/C CE4	 - BG	TABLEROS PLY 22MM C+/C CE4 1,220 X 2,440 - BG	0,06548960	42,0000	ATIVO
ACB1021	1,220	2,440	18	TABLEROS PLY		 - BG	TABLEROS PLY 18MM 1,220 X 2,440 - BG	0,05358240	50,0000	ATIVO
ACB054	1,220	2,440	18	TABLEROS PLY FILM FACED	9 PLY COMBI EUCA FACE	 - BG	TABLEROS PLY FILM FACED 18MM 9 PLY COMBI EUCA FACE 1,220 X 2,440 - BG	0,05358240	50,0000	INATIVO
ACB1028	1,250	2,500	18	TABLEROS PLY FILM FACED	9 PLY COMBI EUCA FACE	 - BG	TABLEROS PLY FILM FACED 18MM 9 PLY COMBI EUCA FACE 1,250 X 2,500 - BG	0,05625000	50,0000	INATIVO
ACB0535	1,220	2,440	18	TABLEROS PLY FILM FACED	9 PLY COMBI EUCA FACE	 - SG	TABLEROS PLY FILM FACED 18MM 9 PLY COMBI EUCA FACE 1,220 X 2,440 - SG	0,05358240	50,0000	INATIVO
ACB0501	1,250	2,500	15	TABLEROS PLY FILM FACED	7 PLY COMBI EUCA FACE	 - BG	TABLEROS PLY FILM FACED 15MM 7 PLY COMBI EUCA FACE 1,250 X 2,500 - BG	0,04687500	60,0000	INATIVO
ACB0449	1,220	2,440	15	TABLEROS PLY FILM FACED	7 PLY COMBI EUCA FACE	 - SG	TABLEROS PLY FILM FACED 15MM 7 PLY COMBI EUCA FACE 1,220 X 2,440 - SG	0,04465200	60,0000	INATIVO
ACB0926	1,250	2,500	15	TABLEROS PLY FILM FACED	7 PLY COMBI EUCA FACE	 - SG	TABLEROS PLY FILM FACED 15MM 7 PLY COMBI EUCA FACE 1,250 X 2,500 - SG	0,04687500	60,0000	INATIVO
ACB0712	1,250	2,500	21	TABLEROS PLY FILM FACED	11 PLY COMBI EUCA FACE	 - BG	TABLEROS PLY FILM FACED 21MM 11 PLY COMBI EUCA FACE 1,250 X 2,500 - BG	0,06562500	42,0000	INATIVO
ACB000	1,220	2,440	21	TABLEROS PLY FILM FACED	11 PLY COMBI EUCA FACE	 - SG	TABLEROS PLY FILM FACED 21MM 11 PLY COMBI EUCA FACE 1,220 X 2,440 - SG	0,06251280	42,0000	INATIVO
ACB2009	1,250	2,500	21	TABLEROS PLY FILM FACED	11 PLY COMBI EUCA FACE	 - SG	TABLEROS PLY FILM FACED 21MM 11 PLY COMBI EUCA FACE 1,250 X 2,500 - SG	0,06562500	42,0000	INATIVO
ACB0377	1,220	2,440	18	TABLEROS PLY FILM FACED	9 PLY COMBI PINE FACE	 - BG	TABLEROS PLY FILM FACED 18MM 9 PLY COMBI PINE FACE 1,220 X 2,440 - BG	0,05358240	50,0000	INATIVO
ACB0270	1,250	2,500	18	TABLEROS PLY FILM FACED	9 PLY COMBI PINE FACE	 - BG	TABLEROS PLY FILM FACED 18MM 9 PLY COMBI PINE FACE 1,250 X 2,500 - BG	0,05625000	50,0000	INATIVO
ACB1079	1,220	2,440	18	TABLEROS PLY FILM FACED	9 PLY COMBI PINE FACE	 - SG	TABLEROS PLY FILM FACED 18MM 9 PLY COMBI PINE FACE 1,220 X 2,440 - SG	0,05358240	50,0000	INATIVO
ACB0376	1,250	2,500	18	TABLEROS PLY FILM FACED	9 PLY COMBI PINE FACE	 - SG	TABLEROS PLY FILM FACED 18MM 9 PLY COMBI PINE FACE 1,250 X 2,500 - SG	0,05625000	50,0000	INATIVO
ACB0486	1,220	2,440	15	TABLEROS PLY FILM FACED	7 PLY COMBI PINE FACE	 - BG	TABLEROS PLY FILM FACED 15MM 7 PLY COMBI PINE FACE 1,220 X 2,440 - BG	0,04465200	60,0000	INATIVO
ACB0333	1,220	2,440	9	TABLEROS PLY PLASTIFICADO	5 PLY COMBI WBP E1	 - 1ª PERMUTA	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,220 X 2,440 X 9mm 5ply - 1ª PERMUTA	0,02679120	100,0000	ATIVO
ACB0638	1,220	2,440	12	TABLEROS PLY PLASTIFICADO	7 PLY COMBI WBP E1	 - 1ª PERMUTA	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,220 X 2,440 X 12mm 7ply - 1ª PERMUTA	0,03572160	75,0000	ATIVO
ACB0145	1,220	2,440	15	TABLEROS PLY PLASTIFICADO	7 PLY COMBI WBP E1	 - 1ª PERMUTA	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,220 X 2,440 X 15mm 7ply - 1ª PERMUTA	0,04465200	60,0000	ATIVO
ACB0520	1,220	2,440	18	TABLEROS PLY PLASTIFICADO	9 PLY COMBI WBP E1	 - 1ª PERMUTA	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,220 X 2,440 X 18mm 9ply - 1ª PERMUTA	0,05358240	50,0000	ATIVO
ACB0834	1,220	2,440	21	TABLEROS PLY PLASTIFICADO	11 PLY COMBI WBP E1	 - 1ª PERMUTA	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,220 X 2,440 X 21mm 11ply - 1ª PERMUTA	0,06251280	43,0000	ATIVO
