CÓDIGO	LARGURA	COMPRIMENTO	BITOLA	CLASSE	ESPECIFICAÇÃO	QUALIDADE	ITEM	PEÇA (M3)	PEÇA (PLT)	SITUAÇÃO
ACB1026	1,220	2,440	9	TABLEROS PLY	MULTIUSO WBP E1	- 2ª QUALIDADE	TABLEROS PLY MULTIUSO WBP E1 1,220 x 2,440 x 9mm - 2° QUALIDADE	0,02679120	100,0000	ATIVO
ACB0832	1,220	2,440	21	TABLEROS PLY PLASTIFICADO	11 PLY COMBI WBP E1		TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,220 X 2,440 X 21mm 11ply	0,06251280	42,0000	ATIVO
ACB1095	1,220	2,440	12	TABLEROS PLY PLASTIFICADO	7 PLY COMBI WBP E1		TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,220 X 2,400 X 12mm 7ply	0,03572160	75,0000	ATIVO
ACB0272	1,200	2,400	15	TABLEROS PLY	6 PLY	 - SG	TABLEROS PLY 15MM 6 PLY 1,200 X 2,400 - SG	0,04320000	60,0000	ATIVO
ACB0299	0,618	2,400	15	TABLEROS PLY	5 PLY T&G	 - BG	TABLEROS PLY 15MM 5 PLY T&G 0,618 X 2,400 - BG	0,02224800	60,0000	ATIVO
ACB0889	1,200	2,500	9	TABLEROS PLY	3 PLY COMBI C+/C CE2+ FSC		TABLEROS PLY 9MM 3 PLY COMBI C+/C CE2+ FSC 1,200 X 2,500	0,02700000	100,0000	ATIVO
ACB0066	0,600	2,440	12	TABLEROS PLY	5 PLY C+/C T&G CE2+ CARB FSC		TABLEROS PLY 12MM 5 PLY C+/C T&G CE2+ CARB FSC 0,600 X 2,440	0,01756800	75,0000	ATIVO
ACB0674	0,600	2,440	18	TABLEROS PLY	7 PLY C+/C T&G CE2+ CARB FSC		TABLEROS PLY 18MM 7 PLY C+/C T&G CE2+ CARB FSC 0,600 X 2,440	0,02635200	50,0000	ATIVO
ACB0789	0,600	2,440	21	TABLEROS PLY	7 PLY C+/C T&G CE2+ CARB FSC		TABLEROS PLY 21MM 7 PLY C+/C T&G CE2+ CARB FSC 0,600 X 2,440	0,03074400	42,0000	ATIVO
ACB0131	1,220	2,440	15	TABLEROS PLY	5 PLY COMBI C+/C T&G CE2+ CARB FSC		TABLEROS PLY 15MM 5 PLY COMBI C+/C T&G CE2+ CARB FSC 1,220 X 2,440	0,04465200	60,0000	ATIVO
ACB0169	1,220	2,440	18	TABLEROS PLY	7 PLY COMBI C+/C T&G CE2+ CARB FSC		TABLEROS PLY 18MM 7 PLY COMBI C+/C T&G CE2+ CARB FSC 1,220 X 2,440	0,05358240	50,0000	ATIVO
ACB0453	1,215	2,400	15	TABLEROS PLY	5 PLY FD		TABLEROS PLY 15MM 5 PLY FD 1,215 X 2,400	0,04374000	60,0000	ATIVO
ACB0426	1,250	2,500	15	TABLEROS PLY	5 PLY FD		TABLEROS PLY 15MM 5 PLY FD 1,250 X 2,500	0,04687500	60,0000	ATIVO
ACB0053	1,220	2,440	15	TABLEROS PLY	5 PLY FD		TABLEROS PLY 15MM 5 PLY FD 1,220 X 2,440	0,04465200	60,0000	ATIVO
ACB0018	1,250	2,400	15	TABLEROS PLY	5 PLY EUCA FD		TABLEROS PLY 15MM 5 PLY EUCA FD 1,250 X 2,400	0,04500000	60,0000	ATIVO
ACB0024	1,220	2,440	15	TABLEROS PLY	COMBI	 - SG	TABLEROS PLY 15MM COMBI 1,220 X 2,440 - SG	0,04465200	60,0000	ATIVO
ACB0023	1,220	2,440	12	TABLEROS PLY		 - SG	TABLEROS PLY 12MM 1,220 X 2,440 - SG	0,03572160	75,0000	ATIVO
ACB0088	1,220	2,440	18	TABLEROS PLY	7 PLY CDX PS1-19		TABLEROS PLY 18MM 7 PLY CDX PS1-19 1,220 X 2,440	0,05358240	75,0000	ATIVO
ACB0857	1,200	2,400	17	TABLEROS PLY PLASTIFICADO	7 PLY COMBI WBP E1	- 3ª QUALIDADE	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,200 X 2,400 X 17mm 7ply - 3ª QUALIDADE	0,04896000	50,0000	ATIVO
ACB0313	1,220	2,440	21	TABLEROS PLY	7 PLY COMBI C+/C T&G CE2+ CARB FSC		TABLEROS PLY 21MM 7 PLY COMBI C+/C T&G CE2+ CARB FSC 1,220 X 2,440	0,06251280	43,0000	ATIVO
ACB0563	1,200	2,500	12	TABLEROS PLY	5 PLY COMBI C+/C CE2+ FSC		TABLEROS PLY 12MM 5 PLY COMBI C+/C CE2+ FSC 1,200 X 2,500	0,03600000	75,0000	ATIVO
ACB1099	1,200	2,500	24	TABLEROS PLY	9 PLY COMBI C+/C CE2+ FSC		TABLEROS PLY 24MM 9 PLY COMBI C+/C CE2+ FSC 1,200 X 2,500	0,07200000	40,0000	ATIVO
ACB2302	1,100	2,200	12	TABLEROS PLY	MULTIUSO WBP E1		TABLEROS PLY MULTIUSO WBP E1 1,100 X 2,200 X 12mm	0,02904000	75,0000	ATIVO
ACB0736	1,200	2,400	9	TABLEROS PLY	5 PLY C+/C CE2+ FSC		TABLEROS PLY 9MM 5 PLY C+/C CE2+ FSC 1,200 X 2,400	0,02592000	100,0000	ATIVO
ACB0439	1,200	2,400	15	TABLEROS PLY	5 PLY C+/C CE2+ FSC		TABLEROS PLY 15MM 5 PLY C+/C CE2+ FSC 1,200 X 2,400	0,04320000	60,0000	ATIVO
ACB0709	1,200	2,400	18	TABLEROS PLY	7 PLY C+/C CE2+ FSC		TABLEROS PLY 18MM 7 PLY C+/C CE2+ FSC 1,200 X 2,400	0,05184000	50,0000	ATIVO
ACB0571	1,200	2,500	18	TABLEROS PLY	9 PLY C+/C CE2+ FSC		TABLEROS PLY 18MM 9 PLY C+/C CE2+ FSC 1,200 X 2,500	0,05400000	50,0000	ATIVO
ACB0521	1,200	2,500	18	TABLEROS PLY	7 PLY COMBI C+/C CE2+ FSC		TABLEROS PLY 18MM 7 PLY COMBI C+/C CE2+ FSC 1,200 X 2,500	0,05400000	50,0000	ATIVO
ACB0601	1,200	2,500	21	TABLEROS PLY	9 PLY C+/C  CE2+ FSC		TABLEROS PLY 21MM 9 PLY C+/C  CE2+ FSC 1,200 X 2,500	0,06300000	56,0000	ATIVO
ACB0284	1,220	2,440	21	TABLEROS PLY	9 PLY C+/C  CE2+ FSC		TABLEROS PLY 21MM 9 PLY C+/C  CE2+ FSC 1,220 X 2,440	0,06251280	45,0000	ATIVO
ACB0671	1,220	2,440	12	TABLEROS PLY	5 PLY CDX PS1-19		TABLEROS PLY 12MM 5 PLY CDX PS1-19 1,220 X 2,440	0,03572160	75,0000	ATIVO
ACB0595	1,220	2,440	18	TABLEROS PLY FILM FACED	9 PLY COMBI PINE FACE		TABLEROS PLY FILM FACED 18MM 9 PLY COMBI PINE FACE 1,220 X 2,440	0,05358240	50,0000	ATIVO
ACB0617	1,220	2,440	15	TABLEROS PLY PLASTIFICADO	7 PLY COMBI WBP E1		TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,220 X 2,440 X 15mm 7ply	0,04465200	60,0000	ATIVO
ACB0959	1,250	2,400	15	TABLEROS PLY	6 PLY	 - BG	TABLEROS PLY 15MM 6 PLY 1,250 X 2,400 - BG	0,04500000	60,0000	ATIVO
ACB0496	1,200	2,500	15	TABLEROS PLY	5 PLY COMBI C+/C CE2+ FSC		TABLEROS PLY 15MM 5 PLY COMBI C+/C CE2+ FSC 1,200 X 2,500	0,04500000	50,0000	ATIVO
ACB0466 	1,220	2,440	18	TABLEROS PLY	7 PLY C+/C CARB		TABLEROS PLY 18MM 7 PLY C+/C CARB 1,220 X 2,440	0,05358240	50,0000	ATIVO
ACB0960	1,200	2,500	12	TABLEROS PLY		 - BG	TABLEROS PLY 12MM 1,200 X 2,500 - BG	0,03600000	75,0000	ATIVO
ACB0961	1,200	2,500	12	TABLEROS PLY		 - SG	TABLEROS PLY 12MM 1,200 X 2,500 - SG	0,03600000	75,0000	ATIVO
ACB0962	1,200	2,500	15	TABLEROS PLY		 - BG	TABLEROS PLY 15MM 1,200 X 2,500 - BG	0,04500000	75,0000	ATIVO
ACB0963	1,200	2,500	15	TABLEROS PLY		 - SG	TABLEROS PLY 15MM 1,200 X 2,500 - SG	0,04500000	75,0000	ATIVO
ACB0964	0,300	2,400	15	TABLEROS PLY		 - BG	TABLEROS PLY 15MM 0,300 X 2,400 - BG	0,01080000	50,0000	ATIVO
ACB0587	1,220	2,440	12	TABLEROS PLY PLASTIFICADO	7 PLY COMBI WBP E1		TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,220 X 2,440 X 12mm 7 ply	0,03572160	50,0000	ATIVO
ACB1001	1,250	2,500	15	TABLEROS PLY	5 PLY COMBI C+/C CE2+ FSC		TABLEROS PLY 15MM 5 PLY COMBI C+/C CE2+ FSC 1,250 X 2,500	0,04687500	60,0000	ATIVO
ACB0397	1,250	2,500	21	TABLEROS PLY	7 PLY COMBI C+/C CE2+ FSC		TABLEROS PLY 21MM 7 PLY COMBI C+/C CE2+ FSC 1,250 X 2,500	0,06562500	45,0000	ATIVO
ACB0211	1,250	2,500	12	TABLEROS PLY	5 PLY COMBI C+/C CE2+ FSC		TABLEROS PLY 12MM 5 PLY COMBI C+/C CE2+ FSC 1,250 X 2,500	0,03750000	75,0000	ATIVO
ACB0128	1,250	2,500	9	TABLEROS PLY	3 PLY COMBI C+/C CE2+ FSC		TABLEROS PLY 9MM 3 PLY COMBI C+/C CE2+ FSC 1,250 X 2,500	0,02812500	100,0000	ATIVO
ACB0966	1,200	2,500	24	TABLEROS PLY		 - BG	TABLEROS PLY 24MM 1,200 X 2,500 - BG	0,07200000	36,0000	ATIVO
ACB0116	1,250	2,500	21	TABLEROS PLY	7 PLY C+/C CE2+ CARB FSC 		TABLEROS PLY 21MM 7 PLY C+/C CE2+ CARB FSC  1,250 X 2,500	0,06562500	100,0000	ATIVO
ACB0843	1,250	2,500	9	TABLEROS PLY	03 PLY C+/C		TABLEROS PLY 9MM 03 PLY C+/C 1,250 X 2,500	0,02812500	75,0000	ATIVO
ACB0530 	1,250	2,500	12	TABLEROS PLY	05 PLY C+/C		TABLEROS PLY 12MM 05 PLY C+/C 1,250 X 2,500	0,03750000	60,0000	ATIVO
ACB0531 	1,250	2,500	15	TABLEROS PLY	05 PLY C+/C		TABLEROS PLY 15MM 05 PLY C+/C 1,250 X 2,500	0,04687500	50,0000	ATIVO
ACB0575 	1,250	2,500	18	TABLEROS PLY	7 PLY C+/C		TABLEROS PLY 18MM 7 PLY C+/C 1,250 X 2,500	0,05625000	50,0000	ATIVO
ACB0846 	1,250	2,500	20	TABLEROS PLY	9 PLY C+/C		TABLEROS PLY 20MM 9 PLY C+/C 1,250 X 2,500	0,06250000	50,0000	ATIVO
ACB0594	1,200	2,400	15	TABLEROS PLY FILM FACED	7 PLY COMBI CE2+ FSC		TABLEROS PLY FILM FACED 15MM 7 PLY COMBI CE2+ FSC 1,200 X 2,400	0,04320000	60,0000	ATIVO
ACB0774 	1,200	2,400	18	TABLEROS PLY FILM FACED	9 PLY COMBI CE2+ FSC		TABLEROS PLY FILM FACED 18MM 9 PLY COMBI CE2+ FSC 1,200 X 2,400	0,05184000	18,0000	ATIVO
ACB0610 	1,200	2,400	21	TABLEROS PLY FILM FACED	11 PLY COMBI CE2+ FSC		TABLEROS PLY FILM FACED 21MM 11 PLY COMBI CE2+ FSC 1,200 X 2,400	0,06048000	21,0000	ATIVO
ACB0874	0,600	2,400	18	TABLEROS PLY	7 PLY C+/C T&G4 WR CE2+ FSC		TABLEROS PLY 18MM 7 PLY C+/C T&G4 WR CE2+ FSC 0,600 X 2,400	0,02592000	50,0000	ATIVO
ACB0125	0,600	2,400	12	TABLEROS PLY	COMBI IMUNIZADO WBP E1 - CLICK		TABLEROS PLY 12MM COMBI IMUNIZADO WBP E1 - CLICK 0,600 X 2,400	0,01728000	75,0000	ATIVO
ACB0171	0,300	2,400	15	TABLEROS PLY	5 PLY COMBI C+/C T&G4 ERGOBOARD CE2+ FSC 		TABLEROS PLY 15MM 5 PLY COMBI C+/C T&G4 ERGOBOARD CE2+ FSC  0,300 X 2,400	0,01080000	68,0000	ATIVO
ACB0613	0,618	2,440	18	TABLEROS PLY	7 PLY T&G	 - SG	TABLEROS PLY 18MM 7 PLY T&G 0,618 X 2,440 - SG	0,02714256	50,0000	ATIVO
ACB0505	0,618	2,400	12	TABLEROS PLY	 5 PLY COMBI C+/C ERGO SHIPLAP CE2+ FSC		TABLEROS PLY 12MM  5 PLY COMBI C+/C ERGO SHIPLAP CE2+ FSC 0,618 X 2,400	0,01779840	85,0000	ATIVO
ACB0289	1,100	2,200	18	TABLEROS PLY PLASTIFICADO	9. PLY COMBI WBP E1		TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,100 X 2,200 X 18mm 9ply	0,04356000	50,0000	ATIVO
ACB0967	1,200	2,400	15	TABLEROS PLY FILM FACED	7 PLY COMBI 		TABLEROS PLY FILM FACED 15MM 7 PLY COMBI  1,200 X 2,400	0,04320000	60,0000	ATIVO
ACB0968	0,320	2,500	15	TABLEROS PLY		 - BG	TABLEROS PLY 15MM 0,320 X 2,500 - BG	0,01200000	60,0000	ATIVO
ACB0781	1,200	2,400	18	TABLEROS PLY PLASTIFICADO	9 PLY COMBI WBP E1		TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,200 X 2,400 X 18mm 9ply	0,05184000	50,0000	ATIVO
ACB0969	1,220	2,440	21	TABLEROS PLY		 - BG	TABLEROS PLY 21MM 1,220 X 2,440 - BG	0,06251280	42,0000	ATIVO
ACB0869	1,100	2,200	18	TABLEROS PLY PLASTIFICADO	9 PLY COMBI WBP E1	 - 1ª PERMUTA	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,100 X 2,200 X 18mm 9ply  - 1ª PERMUTA	0,04356000	50,0000	ATIVO
ACB0970	1,200	2,500	18	TABLEROS PLY		 - BG	TABLEROS PLY 18MM 1,200 X 2,500 - BG	0,05400000	50,0000	ATIVO
ACB0971	1,200	2,500	20	TABLEROS PLY		 - BG	TABLEROS PLY 20MM 1,200 X 2,500 - BG	0,06000000	45,0000	ATIVO
	
